"tid","s1","s2","s3","s4","s5","thematicheading"
"278","AB","18","e","02",,"Cremation"
"279","AB","18","e","03",,"Preparation/treatment of corpse"
"280","AB","18","f",,,"Obsequies"
"281","AB","18","f","01",,"Formal/ceremonial mourning"
"282","AB","18","f","02",,"Monument"
"283","AC","01",,,,"Health and disease"
"284","AC","01","a",,,"Ill-health in external/visible body parts"
"285","AC","01","a","01",,"Disease"
"286","AC","01","a","02",,"Swelling"
"287","AC","01","a","03",,"Eruption"
"288","AC","01","a","04",,"Discharge/flux"
"289","AC","01","a","05",,"Lameness/crippledness"
"290","AC","01","a","06",,"Skin disorders"
"291","AC","01","a","07",,"Disorders of eye/vision"
"292","AC","01","a","08",,"Disorders of ear/hearing"
"293","AC","01","b",,,"Ill-health in tissue/internal organs"
"294","AC","01","b","01",,"Wasting disease"
"295","AC","01","b","02",,"Disorders of bones, muscles, etc."
"296","AC","01","b","03",,"Disorders of digestive system"
"297","AC","01","b","04",,"Glandular disorders"
"298","AC","01","b","05",,"Disordered breathing"
"299","AC","01","b","06",,"Respiratory disorders, coughing"
"300","AC","01","b","07",,"Disorders of reproductive organs"
"301","AC","01","b","08",,"Disorders of pregnancy/birth"
"302","AC","01","b","09",,"Venereal disease"
"303","AC","01","b","10",,"Disorders of circulatory system"
"304","AC","01","b","11",,"Disorders of nervous system"
"305","AC","01","b","12",,"Convulsive/paralytic disorders"
"306","AC","01","b","13",,"Stupor/coma"
"307","AC","01","b","14",,"Fever"
"308","AC","01","b","15",,"Plague/pestilence"
"309","AC","01","b","16",,"Bacterial/viral disorders"
"310","AC","01","c",,,"Animal disease/disorder"
"311","AC","01","c","01",,"Disorders of cattle/horse/sheep"
"312","AC","01","c","02",,"Disorders of cattle"
"313","AC","01","c","03",,"Disorders of horses"
"314","AC","01","d",,,"Deformity, blemish"
"315","AC","01","d","01",,"Deformities of specific parts"
"316","AC","01","e",,,"Injury"
"317","AC","01","e","01",,"Maiming/mutilation"
"318","AC","01","f",,,"Pain"
"319","AC","01","f","01",,"Types of pain"
"320","AC","01","f","02",,"Pain in specific parts"
"321","AC","01","g",,,"Mental health/sanity"
"322","AC","01","g","01",,"Mental illness"
"323","AC","01","g","02",,"Degree/type of madness"
"324","AC","02",,,,"Healing/cure"
"325","AC","02","a",,,"Recovery"
"326","AC","02","b",,,"Art/science of medicine"
"327","AC","02","c",,,"Diagnosis/prognosis"
"328","AC","02","c","01",,"Examination"
"329","AC","02","c","02",,"Radiography/radiology"
"330","AC","02","c","03",,"Specific measuring/recording for purpose of diagnosis"
"331","AC","02","d",,,"Medical treatment"
"332","AC","02","d","01",,"Treatment by medicine/drug"
"333","AC","02","d","02",,"Non-scientific treatments"
"334","AC","02","d","03",,"Surgery"
"335","AC","02","d","04",,"Anaesthetization/pain-killing"
"336","AC","02","e",,,"Medicines/physic"
"337","AC","02","e","01",,"Medicine composed of a plant"
"338","AC","02","e","02",,"Medicines of specific form"
"339","AC","02","e","03",,"Cleansing/expelling medicines"
"340","AC","02","e","04",,"Preparations treating/preventing specific ailments"
"341","AC","02","e","05",,"Preparations for treating specific parts"
"342","AC","02","e","06",,"Sedatives, anti-spasmodics, etc."
"343","AC","02","f",,,"Medical appliances/equipment"
"344","AC","02","f","01",,"Surgical instruments"
"345","AC","02","g",,,"Healer"
"346","AC","02","g","01",,"Physician"
"347","AC","02","g","02",,"Surgeon"
"348","AC","02","g","03",,"Alternative practitioner"
"349","AC","02","g","04",,"Paramedic"
"350","AC","02","g","05",,"Nurse"
"351","AC","02","h",,,"Patient"
"352","AC","02","i",,,"Places for the sick/injured"
"353","AC","02","j",,,"Pharmacy"
"354","AC","02","k",,,"Psychiatry"
"355","AC","02","l",,,"Ophthalmology/optometry"
"356","AC","02","m",,,"Dentistry"
"357","AC","02","n",,,"Veterinary medicine and surgery"
"358","AD",,,,,"People"
"359","AD","01",,,,"Science of mankind"
"360","AD","02",,,,"People collectively"
"361","AD","03",,,,"Person"
"362","AD","03","a",,,"Man"
"363","AD","03","b",,,"Woman"
"364","AD","03","c",,,"Young person"
"365","AD","03","c","01",,"Youth/young man"
"366","AD","03","c","02",,"Young woman"
"367","AD","03","d",,,"Child"
"368","AD","03","d","01",,"Boy"
"369","AD","03","d","02",,"Girl"
"370","AD","03","e",,,"Baby/infant"
"371","AD","03","f",,,"Adult"
"372","AD","03","g",,,"Middle aged person"
"373","AD","03","h",,,"Old person"
"374","AD","03","h","01",,"Old man"
"375","AD","03","h","02",,"Old woman"
"376","AD","04",,,,"Protohuman"
"377","AD","05",,,,"Race"
"378","AD","05","a",,,"Ethnoscience"
"379","AD","05","b",,,"Nomads"
"380","AD","06",,,,"Division by physical peculiarities"
"381","AD","06","a",,,"White person"
"382","AD","06","b",,,"Non-white person"
"383","AD","06","c",,,"Black person"
"384","AD","06","d",,,"Semite"
"385","AD","06","e",,,"Gentile"
"386","AD","06","f",,,"Mixed race"
"387","AD","07",,,,"Germanic people"
"388","AD","08",,,,"Celtic people, Pict"
"389","AD","09",,,,"Slav people"
"390","AD","10",,,,"Indian"
"391","AD","11",,,,"New Zealand/Australian aboriginal"
"392","AD","12",,,,"Peoples of Africa"
"393","AD","13",,,,"North American peoples"
"394","AD","14",,,,"Indian of Central/South America"
"395","AD","15",,,,"Nations"
"396","AD","15","a",,,"National of a country"
"397","AD","15","b",,,"Compatriots"
"398","AD","15","c",,,"Native people"
"399","AD","15","d",,,"Native/inhabitant of specific region"
"400","AD","15","e",,,"Native/inhabitant of Europe"
"401","AD","15","e","01",,"British nation"
"402","AD","15","e","02",,"The Irish"
"403","AD","15","e","03",,"The Scandinavians"
"404","AD","15","e","04",,"Native/inhabitant of Germany"
"405","AD","15","e","05",,"The Greeks"
"406","AD","15","e","06",,"French nation"
"407","AD","15","e","07",,"The Italians"
"408","AD","15","e","08",,"The Spanish"
"409","AD","15","e","09",,"Native/inhabitant of Portugal"
"410","AD","15","e","10",,"Native/inhabitant of ancient/medieval Europe"
"411","AD","15","f",,,"Native/inhabitant of Near/Middle East/Asia Minor"
"412","AD","15","g",,,"Native/inhabitant of Asia"
"413","AD","15","g","01",,"Native/inhabitant of Russia/former U.S.S.R."
"414","AD","15","g","02",,"The Indians"
"415","AD","15","g","03",,"The Chinese"
"416","AD","15","h",,,"Native/inhabitant of Antipodes"
"417","AD","15","i",,,"Native/inhabitant of Africa"
"418","AD","15","i","01",,"Native/inhabitant of N. Africa"
"419","AD","15","i","02",,"Native/inhabitant of E. Africa"
"420","AD","15","i","03",,"Native/inhabitant of Southern Africa"
"421","AD","15","i","04",,"Native/inhabitant of W. Africa"
"422","AD","15","j",,,"Native/inhabitant of America"
"423","AD","15","j","01",,"Native/inhabitant of N. America generally"
"424","AD","15","j","02",,"Native/inhabitant of U.S.A."
"425","AD","15","j","03",,"Native/inhabitant of Canada"
"426","AD","15","j","04",,"Native/inhabitant of Central America"
"427","AD","15","j","05",,"Native/inhabitant of W. Indies"
"428","AD","15","j","06",,"Native/inhabitant of S. America"
"429","AE",,,,,"Animals"
"430","AE","01",,,,"Animals defined by eating habits"
"431","AE","02",,,,"Animals defined by noises"
"432","AE","03",,,,"Domestic animal"
"433","AE","04",,,,"Animals hunted"
"434","AE","05",,,,"Animal family unit"
"435","AE","06",,,,"Animals collectively"
"436","AE","07",,,,"Animal body"
"437","AE","07","a",,,"Markings/colourings"
"438","AE","07","b",,,"Body and limbs"
"439","AE","07","c",,,"Rump and tail"
"440","AE","07","d",,,"Covering/skin"
"441","AE","08",,,,"Invertebrates"
"442","AE","08","a",,,"Protozoa"
"443","AE","08","b",,,"Division Vermes (worms)"
"444","AE","08","c",,,"Phylum Mollusca (moluscs)"
"445","AE","08","d",,,"Class Gastropoda (gastropods)"
"446","AE","08","e",,,"Class Pelecypoda/Conchifera (shellfish)"
"447","AE","08","f",,,"Class Cephalopoda (cephalopods)"
"448","AE","08","g",,,"Class Crustacea (crustaceans)"
"449","AE","08","h",,,"Class Arachnida (spiders, scorpions)"
"450","AE","08","i",,,"Class Insecta (insects)"
"451","AE","08","i","01",,"Parts of insects"
"452","AE","08","i","02",,"Eggs/young"
"453","AE","08","i","03",,"Order Diptera (flies)"
"454","AE","08","i","04",,"Order Siphonaptera (fleas)"
"455","AE","08","i","05",,"Order Lepidoptera (butterflies, moths)"
"456","AE","08","i","06",,"Rhopalocera (butterflies)"
"457","AE","08","i","07",,"Heterocera (moths)"
"458","AE","08","i","08",,"Order Coleoptera (beetles, weevils)"
"459","AE","08","i","09",,"Order Hymenoptera (bees, wasps)"
"460","AE","09",,,,"Vertebrates"
"461","AE","10",,,,"Fish"
"462","AE","10","a",,,"Order Pleurotremata (sharks)"
"463","AE","10","b",,,"Subdivision Teleostei (eels)"
"464","AE","10","c",,,"Order Clupeiformes (herring and related fish)"
"465","AE","10","d",,,"Order Salmoniformes (salmon, trout)"
"466","AE","10","e",,,"Order Cyprinoidea (carp and related fish)"
"467","AE","10","f",,,"Order Gadiformes (cod)"
"468","AE","10","g",,,"Order Perciformes (perches)"
"469","AE","11",,,,"Class Amphibia (amphibians)"
"470","AE","11","a",,,"Order Anura/Salienta (frogs, toads)"
"471","AE","12",,,,"Class Reptilia (reptiles)"
"472","AE","12","a",,,"Extinct reptiles and dinosaurs"
"473","AE","12","b",,,"Order Chelonia (turtles, tortoises)"
"474","AE","12","c",,,"Order Crocodilia (crocodiles, alligators)"
"475","AE","12","d",,,"Order Squamata (lizards, snakes)"
"476","AE","12","d","01",,"Suborder Lacertilia (lizards)"
"477","AE","12","d","02",,"Suborder Ophidia (snakes)"
"478","AE","13",,,,"Class Aves (birds)"
"479","AE","13","a",,,"Wild/domestic birds"
"480","AE","13","b",,,"Bird of prey"
"481","AE","13","c",,,"Sound/bird defined by"
"482","AE","13","d",,,"Egg"
"483","AE","13","e",,,"Young bird"
"484","AE","13","f",,,"Parts of/bird defined by"
"485","AE","13","g",,,"Feather"
"486","AE","13","h",,,"Order Galliformes (fowls)"
"487","AE","13","h","01",,"Genus Gallus (domestic fowl)"
"488","AE","13","i",,,"Family Laridae (gulls, terns)"
"489","AE","13","j",,,"Order Ciconiiformes (storks and related birds)"
"490","AE","13","k",,,"Order Anseriformes (geese and related birds)"
"491","AE","13","k","01",,"Subfamily Merginae (ducks)"
"492","AE","13","l",,,"Perching birds"
"493","AE","13","l","01",,"Order Psittaciformes (parrots and related birds)"
"494","AE","13","l","02",,"Order Columbiformes (doves, pigeons)"
"495","AE","13","m",,,"Order Strigiformes (owls)"
"496","AE","13","n",,,"Order Falconiformes (falcons and related birds)"
"497","AE","13","o",,,"Order Passeriformes (song-birds)"
"498","AE","13","o","01",,"Family Corvidae (crows)"
"499","AE","14",,,,"Class Mammalia (mammals)"
"500","AE","14","a",,,"Subclass Marsupialia (marsupials)"
"501","AE","14","b",,,"Order Cetacea (whales, dolphins)"
"502","AE","14","c",,,"Family Felidae (felines)"
"503","AE","14","c","01",,"Felis domesticus (domestic cat)"
"504","AE","14","d",,,"Family Canidae (dogs)/member of"
"505","AE","14","d","02",,"Dog"
"506","AE","14","e",,,"Family Ursidae (bears)"
"507","AE","14","f",,,"Family Mustelidae (weasel, marten, otter, badger)"
"508","AE","14","g",,,"Order Pinnipedia (seal, sea lion, walrus)"
"509","AE","14","h",,,"Order Rodentia (rodents)"
"510","AE","14","i",,,"Order Lagomorpha (rabbits, hares)"
"511","AE","14","j",,,"Family Equidae (general equines)"
"512","AE","14","j","01",,"Equus caballus (horse)"
"513","AE","14","j","02",,"Horse defined by purpose"
"514","AE","14","j","03",,"Body/parts of horse"
"515","AE","14","j","04",,"Habits and actions of horse"
"516","AE","14","j","05",,"Horse defined by speed/gait"
"517","AE","14","k",,,"Order Proboscidea (elephants)"
"518","AE","14","l",,,"Family Suidae (pigs)"
"519","AE","14","m",,,"Group Ruminantia (sheep, goats, cows)"
"520","AE","14","m","01",,"Genus Ovis (sheep)"
"521","AE","14","m","02",,"Subfamily Caprinae (goats)"
"522","AE","14","m","03",,"Subfamily Bovinae (bovines)"
"523","AE","14","m","04",,"Bos taurus (ox)"
"524","AE","14","m","05",,"Bull"
"525","AE","14","m","06",,"Cow"
"526","AE","14","m","07",,"Antelope"
"527","AE","14","m","08",,"Family Cervidae (deer)"
"528","AE","14","n",,,"Order Chiroptera (bats)"
"529","AE","14","o",,,"Order Primates"
"530","AE","14","o","01",,"Suborder Anthropoidea (higher primates)"
"531","AE","15",,,,"Zoology"
"532","AE","15","a",,,"Study of specific types of animal"
"533","AE","15","b",,,"Taxidermy"
"534","AF",,,,,"Plants"
"535","AF","01",,,,"Plants collectively"
"536","AF","02",,,,"Wild/cultivated plants"
"537","AF","02","a",,,"Food plant/vegetable"
"538","AF","03",,,,"Valued plants and weeds"
"539","AF","03","a",,,"Edible product/fruit"
"540","AF","04",,,,"Plants defined by habitat/distribution"
"541","AF","05",,,,"Plants defined by age/cycles"
"542","AF","06",,,,"Plants defined by growth/development"
"543","AF","06","a",,,"Plants defined by good growth"
"544","AF","06","b",,,"Plants defined by poor growth"
"545","AF","06","c",,,"Plants defined by habit"
"546","AF","07",,,,"Tree/woody plant"
"547","AF","07","a",,,"Wood/assemblage of trees/shrubs"
"548","AF","08",,,,"Defined by nutrition/respiration, etc."
"549","AF","09",,,,"Appearance of plant"
"550","AF","10",,,,"Part of plant"
"551","AF","10","a",,,"Stem/stalk"
"552","AF","10","b",,,"Shoot/sprout/branch"
"553","AF","10","c",,,"Bud"
"554","AF","10","d",,,"Root"
"555","AF","10","e",,,"Leaf"
"556","AF","10","f",,,"Plant substances"
"557","AF","10","g",,,"Flower/part containing reproductive organs"
"558","AF","10","h",,,"Reproductive product - fruit, nut"
"559","AF","10","i",,,"Seed"
"560","AF","10","j",,,"Spore"
"561","AF","10","k",,,"Cell/aggregate tissue"
"562","AF","10","l",,,"Wood, other part of tree/woody plant"
"563","AF","11",,,,"Disease of/injury to plants"
"564","AF","12",,,,"Particular plants/herbs/shrubs"
"565","AF","12","a",,,"A grass/grasses"
"566","AF","13",,,,"Particular tree/shrub"
"567","AF","13","a",,,"Oak and allies"
"568","AF","13","b",,,"Conifers"
"569","AF","13","c",,,"Non-British trees/shrubs"
"570","AF","13","d",,,"Particular shrubs"
"571","AF","14",,,,"Cactus and allies"
"572","AF","15",,,,"Ferns"
"573","AF","16",,,,"Moss"
"574","AF","17",,,,"Fungi"
"575","AF","18",,,,"Lichen"
"576","AF","19",,,,"Algae, seaweed"
"577","AF","20",,,,"Particular food plant/product"
"578","AF","20","a",,,"Particular types of fruit"
"579","AF","20","b",,,"Particular fruit-tree/-plant"
"580","AF","20","c",,,"Edible nuts/nut-trees"
"581","AF","20","d",,,"Edible pods/seeds/leaves/flowers"
"582","AF","20","e",,,"Particular vegetables"
"583","AF","20","f",,,"Pulses/plants producing pulses"
"584","AF","20","g",,,"Cereal/corn/grain"
"585","AF","20","h",,,"Yielding condiments/used in food preparation"
"586","AF","20","i",,,"Particular fodder plants"
"587","AF","21",,,,"Particular medicinal/food plants/parts"
"588","AF","21","a",,,"Medicinal trees/shrubs"
"589","AF","21","b",,,"Particular medicinal/food plants"
"590","AF","22",,,,"Yielding drug/narcotic"
"591","AF","23",,,,"Particular timber trees/shrubs"
"592","AF","24",,,,"Yielding fibre/thatching/basket material"
"593","AF","25",,,,"Particular tree/plant yielding useful gum/resin"
"594","AF","26",,,,"Plant/nut/bean yielding oil"
"595","AF","27",,,,"Plants used in dyeing"
"596","AF","28",,,,"Fragrant plants/plants used in perfumery"
"597","AF","29",,,,"Particular cultivated/ornamental plants"
"598","AF","29","a",,,"Cultivated/ornamental trees/shrubs"
"599","AF","30",,,,"Plants perceived as weeds/harmful plants"
"600","AF","30","a",,,"Weed"
"601","AF","30","b",,,"Poisonous/harmful plants"
"602","AF","30",,,,"Botany"
"603","AG",,,,,"Food and drink"
"604","AG","01",,,,"Food"
"605","AG","01","a",,,"Qualities of food"
